testname,N,ds,average_comparisons,max_comparisons,average_pointer_operations,max_pointer_operations,average_tree_height,max_tree_height,average_cost,max_cost
"ascending_keys_insertion_and_deletion_deletes",10000,"RBT",11,16,14,33,14,23,25,44
"random_keys_insertion_and_deletion_inserts",10000,"RBT",12,16,17,32,14,16,30,48
"random_keys_insertion_and_deletion_deletes",10000,"RBT",11,16,15,34,15,16,26,48
"ascending_keys_insertion_and_deletion_inserts",10000,"RBT",21,24,29,33,21,24,50,57
"ascending_keys_insertion_and_deletion_deletes",10000,"RBT",11,15,14,33,14,24,25,44
"random_keys_insertion_and_deletion_inserts",10000,"RBT",12,16,17,32,14,17,30,48
"random_keys_insertion_and_deletion_deletes",10000,"RBT",11,16,15,35,15,17,26,48
"ascending_keys_insertion_and_deletion_inserts",10000,"RBT",21,24,29,33,21,24,50,57
"ascending_keys_insertion_and_deletion_deletes",10000,"RBT",11,16,14,33,14,24,25,46
"random_keys_insertion_and_deletion_inserts",10000,"RBT",12,16,17,32,14,17,29,48
"random_keys_insertion_and_deletion_deletes",10000,"RBT",11,16,15,35,14,17,26,48
"ascending_keys_insertion_and_deletion_inserts",10000,"RBT",21,24,29,33,21,24,50,57
"ascending_keys_insertion_and_deletion_deletes",10000,"RBT",11,18,14,32,14,24,25,45
"random_keys_insertion_and_deletion_inserts",10000,"RBT",12,16,17,32,14,17,30,48
"random_keys_insertion_and_deletion_deletes",10000,"RBT",11,16,15,35,15,17,26,50
"ascending_keys_insertion_and_deletion_inserts",10000,"RBT",21,24,29,33,21,24,50,57
"ascending_keys_insertion_and_deletion_deletes",10000,"RBT",11,16,14,34,14,23,25,46
"random_keys_insertion_and_deletion_inserts",10000,"RBT",12,17,17,32,14,17,30,48
"random_keys_insertion_and_deletion_deletes",10000,"RBT",11,16,15,34,15,17,26,48
"ascending_keys_insertion_and_deletion_inserts",10000,"RBT",21,24,29,33,21,24,50,57
"ascending_keys_insertion_and_deletion_deletes",10000,"RBT",11,16,14,32,14,23,25,44
"random_keys_insertion_and_deletion_inserts",10000,"RBT",12,16,17,32,14,16,30,48
"random_keys_insertion_and_deletion_deletes",10000,"RBT",11,16,15,34,14,16,26,48
"ascending_keys_insertion_and_deletion_inserts",10000,"RBT",21,24,29,33,21,24,50,57
"ascending_keys_insertion_and_deletion_deletes",10000,"RBT",11,15,14,34,14,24,25,46
"random_keys_insertion_and_deletion_inserts",10000,"RBT",12,16,17,32,14,16,29,48
"random_keys_insertion_and_deletion_deletes",10000,"RBT",11,16,15,34,14,16,26,46
"ascending_keys_insertion_and_deletion_inserts",10000,"RBT",21,24,29,33,21,24,50,57
"ascending_keys_insertion_and_deletion_deletes",10000,"RBT",11,17,14,33,14,24,25,44
"random_keys_insertion_and_deletion_inserts",10000,"RBT",12,16,17,32,14,16,30,48
"random_keys_insertion_and_deletion_deletes",10000,"RBT",11,16,15,34,14,16,26,46
"ascending_keys_insertion_and_deletion_inserts",10000,"RBT",21,24,29,33,21,24,50,57
"ascending_keys_insertion_and_deletion_deletes",10000,"RBT",11,16,14,32,14,24,25,44
"random_keys_insertion_and_deletion_inserts",20000,"RBT",13,18,18,34,16,18,32,52
"random_keys_insertion_and_deletion_deletes",20000,"RBT",12,18,16,36,16,18,28,50
"ascending_keys_insertion_and_deletion_inserts",20000,"RBT",23,26,31,35,23,26,54,61
"ascending_keys_insertion_and_deletion_deletes",20000,"RBT",12,18,15,35,15,26,27,48
"random_keys_insertion_and_deletion_inserts",20000,"RBT",13,17,18,33,15,17,31,50
"random_keys_insertion_and_deletion_deletes",20000,"RBT",12,17,16,35,15,17,28,48
"ascending_keys_insertion_and_deletion_inserts",20000,"RBT",23,26,31,35,23,26,54,61
"ascending_keys_insertion_and_deletion_deletes",20000,"RBT",12,16,15,34,15,25,27,46
"random_keys_insertion_and_deletion_inserts",20000,"RBT",13,17,18,33,15,18,32,50
"random_keys_insertion_and_deletion_deletes",20000,"RBT",12,18,16,35,16,18,28,50
"ascending_keys_insertion_and_deletion_inserts",20000,"RBT",23,26,31,35,23,26,54,61
"ascending_keys_insertion_and_deletion_deletes",20000,"RBT",12,18,15,34,15,26,27,46
"random_keys_insertion_and_deletion_inserts",20000,"RBT",13,17,18,33,15,17,31,50
"random_keys_insertion_and_deletion_deletes",20000,"RBT",12,17,16,36,15,17,28,50
"ascending_keys_insertion_and_deletion_inserts",20000,"RBT",23,26,31,35,23,26,54,61
"ascending_keys_insertion_and_deletion_deletes",20000,"RBT",12,16,15,34,15,25,27,46
"random_keys_insertion_and_deletion_inserts",20000,"RBT",13,17,18,33,15,17,31,50
"random_keys_insertion_and_deletion_deletes",20000,"RBT",12,17,16,35,15,17,28,50
"ascending_keys_insertion_and_deletion_inserts",20000,"RBT",23,26,31,35,23,26,54,61
"ascending_keys_insertion_and_deletion_deletes",20000,"RBT",12,17,15,34,15,25,27,46
"random_keys_insertion_and_deletion_inserts",20000,"RBT",13,17,18,33,15,18,32,50
"random_keys_insertion_and_deletion_deletes",20000,"RBT",12,17,16,36,16,18,28,50
"ascending_keys_insertion_and_deletion_inserts",20000,"RBT",23,26,31,35,23,26,54,61
"ascending_keys_insertion_and_deletion_deletes",20000,"RBT",12,18,15,35,15,25,27,48
"random_keys_insertion_and_deletion_inserts",20000,"RBT",13,17,18,33,15,17,31,50
"random_keys_insertion_and_deletion_deletes",20000,"RBT",12,17,16,36,16,17,28,50
"ascending_keys_insertion_and_deletion_inserts",20000,"RBT",23,26,31,35,23,26,54,61
"ascending_keys_insertion_and_deletion_deletes",20000,"RBT",12,17,15,35,15,26,27,48
"random_keys_insertion_and_deletion_inserts",20000,"RBT",13,17,18,33,15,18,31,50
"random_keys_insertion_and_deletion_deletes",20000,"RBT",12,17,16,35,16,18,28,50
"ascending_keys_insertion_and_deletion_inserts",20000,"RBT",23,26,31,35,23,26,54,61
"ascending_keys_insertion_and_deletion_deletes",20000,"RBT",12,17,15,35,15,26,27,48
"random_keys_insertion_and_deletion_inserts",20000,"RBT",13,17,18,33,15,17,31,50
"random_keys_insertion_and_deletion_deletes",20000,"RBT",12,17,16,36,15,17,28,50
"ascending_keys_insertion_and_deletion_inserts",20000,"RBT",23,26,31,35,23,26,54,61
"ascending_keys_insertion_and_deletion_deletes",20000,"RBT",12,16,15,33,15,25,27,44
"random_keys_insertion_and_deletion_inserts",20000,"RBT",13,17,18,33,15,17,31,50
"random_keys_insertion_and_deletion_deletes",20000,"RBT",12,17,16,35,15,17,28,50
"ascending_keys_insertion_and_deletion_inserts",20000,"RBT",23,26,31,35,23,26,54,61
"ascending_keys_insertion_and_deletion_deletes",20000,"RBT",12,16,15,33,15,25,27,46
"random_keys_insertion_and_deletion_inserts",20000,"RBT",13,17,18,33,15,17,31,50
"random_keys_insertion_and_deletion_deletes",20000,"RBT",12,17,16,35,15,17,28,50
"ascending_keys_insertion_and_deletion_inserts",20000,"RBT",23,26,31,35,23,26,54,61
"ascending_keys_insertion_and_deletion_deletes",20000,"RBT",12,21,15,35,15,26,27,50
"random_keys_insertion_and_deletion_inserts",20000,"RBT",13,17,18,33,15,17,31,50
"random_keys_insertion_and_deletion_deletes",20000,"RBT",12,17,16,35,15,17,28,50
"ascending_keys_insertion_and_deletion_inserts",20000,"RBT",23,26,31,35,23,26,54,61
"ascending_keys_insertion_and_deletion_deletes",20000,"RBT",12,19,15,34,15,26,27,46
"random_keys_insertion_and_deletion_inserts",20000,"RBT",13,18,18,33,15,18,32,50
"random_keys_insertion_and_deletion_deletes",20000,"RBT",12,18,16,35,16,18,28,50
"ascending_keys_insertion_and_deletion_inserts",20000,"RBT",23,26,31,35,23,26,54,61
"ascending_keys_insertion_and_deletion_deletes",20000,"RBT",12,17,15,34,15,25,27,46
"random_keys_insertion_and_deletion_inserts",20000,"RBT",13,17,18,33,15,17,31,50
"random_keys_insertion_and_deletion_deletes",20000,"RBT",12,17,16,35,15,17,28,50
"ascending_keys_insertion_and_deletion_inserts",20000,"RBT",23,26,31,35,23,26,54,61
"ascending_keys_insertion_and_deletion_deletes",20000,"RBT",12,18,15,33,15,26,27,46
"random_keys_insertion_and_deletion_inserts",20000,"RBT",13,17,18,33,15,17,32,50
"random_keys_insertion_and_deletion_deletes",20000,"RBT",12,17,16,36,15,17,28,50
"ascending_keys_insertion_and_deletion_inserts",20000,"RBT",23,26,31,35,23,26,54,61
"ascending_keys_insertion_and_deletion_deletes",20000,"RBT",12,18,15,34,15,25,27,48
"random_keys_insertion_and_deletion_inserts",20000,"RBT",13,18,18,33,16,18,32,50
"random_keys_insertion_and_deletion_deletes",20000,"RBT",12,17,16,36,16,18,28,50
"ascending_keys_insertion_and_deletion_inserts",20000,"RBT",23,26,31,35,23,26,54,61
"ascending_keys_insertion_and_deletion_deletes",20000,"RBT",12,23,15,34,15,25,27,53
"random_keys_insertion_and_deletion_inserts",20000,"RBT",13,17,18,33,15,18,31,50
"random_keys_insertion_and_deletion_deletes",20000,"RBT",12,18,16,36,16,18,28,50
"ascending_keys_insertion_and_deletion_inserts",20000,"RBT",23,26,31,35,23,26,54,61
"ascending_keys_insertion_and_deletion_deletes",20000,"RBT",12,18,15,34,15,25,27,49
"random_keys_insertion_and_deletion_inserts",20000,"RBT",13,17,18,33,15,17,31,50
"random_keys_insertion_and_deletion_deletes",20000,"RBT",12,17,16,36,15,17,28,50
"ascending_keys_insertion_and_deletion_inserts",20000,"RBT",23,26,31,35,23,26,54,61
"ascending_keys_insertion_and_deletion_deletes",20000,"RBT",12,18,15,35,15,26,27,48
"random_keys_insertion_and_deletion_inserts",20000,"RBT",13,17,18,33,15,17,32,50
"random_keys_insertion_and_deletion_deletes",20000,"RBT",12,17,16,36,15,17,28,50
"ascending_keys_insertion_and_deletion_inserts",20000,"RBT",23,26,31,35,23,26,54,61
"ascending_keys_insertion_and_deletion_deletes",20000,"RBT",12,17,15,34,15,25,27,46
"random_keys_insertion_and_deletion_inserts",20000,"RBT",13,17,18,33,15,17,31,50
"random_keys_insertion_and_deletion_deletes",20000,"RBT",12,17,16,36,15,17,28,50
"ascending_keys_insertion_and_deletion_inserts",20000,"RBT",23,26,31,35,23,26,54,61
"ascending_keys_insertion_and_deletion_deletes",20000,"RBT",11,19,15,35,15,25,27,48
"random_keys_insertion_and_deletion_inserts",30000,"RBT",13,18,19,34,16,18,33,52
"random_keys_insertion_and_deletion_deletes",30000,"RBT",12,18,16,36,16,18,29,52
"ascending_keys_insertion_and_deletion_inserts",30000,"RBT",24,27,32,36,24,27,57,63
"ascending_keys_insertion_and_deletion_deletes",30000,"RBT",12,18,15,35,15,26,28,48
"random_keys_insertion_and_deletion_inserts",30000,"RBT",13,18,19,34,16,18,33,52
"random_keys_insertion_and_deletion_deletes",30000,"RBT",12,18,16,36,17,18,29,52
"ascending_keys_insertion_and_deletion_inserts",30000,"RBT",24,27,32,36,24,27,57,63
"ascending_keys_insertion_and_deletion_deletes",30000,"RBT",12,16,15,35,15,26,28,48
"random_keys_insertion_and_deletion_inserts",30000,"RBT",13,18,19,34,16,18,33,52
"random_keys_insertion_and_deletion_deletes",30000,"RBT",12,18,16,36,16,18,29,50
"ascending_keys_insertion_and_deletion_inserts",30000,"RBT",24,27,32,36,24,27,57,63
"ascending_keys_insertion_and_deletion_deletes",30000,"RBT",12,17,15,35,15,27,28,48
"random_keys_insertion_and_deletion_inserts",30000,"RBT",13,18,19,33,16,18,33,50
"random_keys_insertion_and_deletion_deletes",30000,"RBT",12,18,16,36,16,18,29,52
"ascending_keys_insertion_and_deletion_inserts",30000,"RBT",24,27,32,36,24,27,57,63
"ascending_keys_insertion_and_deletion_deletes",30000,"RBT",12,19,15,34,15,26,28,46
"random_keys_insertion_and_deletion_inserts",30000,"RBT",13,18,19,34,16,18,33,52
"random_keys_insertion_and_deletion_deletes",30000,"RBT",12,18,16,37,16,18,29,52
"ascending_keys_insertion_and_deletion_inserts",30000,"RBT",24,27,32,36,24,27,57,63
"ascending_keys_insertion_and_deletion_deletes",30000,"RBT",12,18,15,34,16,26,28,47
"random_keys_insertion_and_deletion_inserts",30000,"RBT",13,18,19,34,16,18,33,52
"random_keys_insertion_and_deletion_deletes",30000,"RBT",12,18,16,36,16,18,29,52
"ascending_keys_insertion_and_deletion_inserts",30000,"RBT",24,27,32,36,24,27,57,63
"ascending_keys_insertion_and_deletion_deletes",30000,"RBT",12,18,15,34,16,27,28,48
"random_keys_insertion_and_deletion_inserts",30000,"RBT",13,18,19,34,16,18,33,52
"random_keys_insertion_and_deletion_deletes",30000,"RBT",12,18,16,37,16,18,29,52
"ascending_keys_insertion_and_deletion_inserts",30000,"RBT",24,27,32,36,24,27,57,63
"ascending_keys_insertion_and_deletion_deletes",30000,"RBT",12,18,15,35,15,26,28,48
"random_keys_insertion_and_deletion_inserts",30000,"RBT",13,18,19,34,16,18,33,52
"random_keys_insertion_and_deletion_deletes",30000,"RBT",12,18,16,37,17,18,29,52
"ascending_keys_insertion_and_deletion_inserts",30000,"RBT",24,27,32,36,24,27,57,63
"ascending_keys_insertion_and_deletion_deletes",30000,"RBT",12,16,15,35,15,27,28,48
"random_keys_insertion_and_deletion_inserts",30000,"RBT",13,18,19,34,16,18,33,52
"random_keys_insertion_and_deletion_deletes",30000,"RBT",12,18,16,37,16,18,29,52
"ascending_keys_insertion_and_deletion_inserts",30000,"RBT",24,27,32,36,24,27,57,63
"ascending_keys_insertion_and_deletion_deletes",30000,"RBT",12,17,15,35,15,27,28,48
"random_keys_insertion_and_deletion_inserts",30000,"RBT",13,18,19,34,16,18,33,52
"random_keys_insertion_and_deletion_deletes",30000,"RBT",12,18,16,36,16,18,29,52
"ascending_keys_insertion_and_deletion_inserts",30000,"RBT",24,27,32,36,24,27,57,63
"ascending_keys_insertion_and_deletion_deletes",30000,"RBT",12,18,15,36,16,26,28,50
"random_keys_insertion_and_deletion_inserts",30000,"RBT",13,18,19,34,16,18,33,52
"random_keys_insertion_and_deletion_deletes",30000,"RBT",12,18,16,36,16,18,29,52
"ascending_keys_insertion_and_deletion_inserts",30000,"RBT",24,27,32,36,24,27,57,63
"ascending_keys_insertion_and_deletion_deletes",30000,"RBT",12,19,15,35,16,26,28,50
"random_keys_insertion_and_deletion_inserts",30000,"RBT",13,18,19,34,16,18,33,52
"random_keys_insertion_and_deletion_deletes",30000,"RBT",12,18,16,37,16,18,29,52
"ascending_keys_insertion_and_deletion_inserts",30000,"RBT",24,27,32,36,24,27,57,63
"ascending_keys_insertion_and_deletion_deletes",30000,"RBT",12,20,15,35,15,26,28,48
"random_keys_insertion_and_deletion_inserts",30000,"RBT",13,18,19,34,16,18,33,52
"random_keys_insertion_and_deletion_deletes",30000,"RBT",12,18,16,37,16,18,29,52
"ascending_keys_insertion_and_deletion_inserts",30000,"RBT",24,27,32,36,24,27,57,63
"ascending_keys_insertion_and_deletion_deletes",30000,"RBT",12,18,15,35,15,26,28,48
"random_keys_insertion_and_deletion_inserts",30000,"RBT",13,18,19,34,16,18,33,52
"random_keys_insertion_and_deletion_deletes",30000,"RBT",12,18,16,37,16,18,29,52
"ascending_keys_insertion_and_deletion_inserts",30000,"RBT",24,27,32,36,24,27,57,63
"ascending_keys_insertion_and_deletion_deletes",30000,"RBT",12,18,15,36,15,26,28,50
"random_keys_insertion_and_deletion_inserts",30000,"RBT",13,18,19,33,16,18,33,50
"random_keys_insertion_and_deletion_deletes",30000,"RBT",12,18,16,36,16,18,29,50
"ascending_keys_insertion_and_deletion_inserts",30000,"RBT",24,27,32,36,24,27,57,63
"ascending_keys_insertion_and_deletion_deletes",30000,"RBT",12,20,15,35,16,26,28,48
"random_keys_insertion_and_deletion_inserts",30000,"RBT",13,18,19,34,16,18,33,52
"random_keys_insertion_and_deletion_deletes",30000,"RBT",12,18,16,37,16,18,29,52
"ascending_keys_insertion_and_deletion_inserts",30000,"RBT",24,27,32,36,24,27,57,63
"ascending_keys_insertion_and_deletion_deletes",30000,"RBT",12,21,15,34,15,27,28,48
"random_keys_insertion_and_deletion_inserts",30000,"RBT",13,18,19,33,16,18,33,50
"random_keys_insertion_and_deletion_deletes",30000,"RBT",12,18,16,37,16,18,29,52
"ascending_keys_insertion_and_deletion_inserts",30000,"RBT",24,27,32,36,24,27,57,63
"ascending_keys_insertion_and_deletion_deletes",30000,"RBT",12,20,15,35,16,26,28,48
"random_keys_insertion_and_deletion_inserts",30000,"RBT",13,18,19,34,16,18,33,52
"random_keys_insertion_and_deletion_deletes",30000,"RBT",12,18,16,37,16,18,29,52
"ascending_keys_insertion_and_deletion_inserts",30000,"RBT",24,27,32,36,24,27,57,63
"ascending_keys_insertion_and_deletion_deletes",30000,"RBT",12,17,15,35,15,27,28,48
"random_keys_insertion_and_deletion_inserts",30000,"RBT",13,18,19,34,16,18,33,52
"random_keys_insertion_and_deletion_deletes",30000,"RBT",12,18,16,37,16,18,29,52
"ascending_keys_insertion_and_deletion_inserts",30000,"RBT",24,27,32,36,24,27,57,63
"ascending_keys_insertion_and_deletion_deletes",30000,"RBT",12,17,15,35,15,26,28,48
"random_keys_insertion_and_deletion_inserts",30000,"RBT",13,18,19,34,16,18,33,52
"random_keys_insertion_and_deletion_deletes",30000,"RBT",12,18,16,36,16,18,29,50
"ascending_keys_insertion_and_deletion_inserts",30000,"RBT",24,27,32,36,24,27,57,63
"ascending_keys_insertion_and_deletion_deletes",30000,"RBT",12,19,15,35,15,26,28,48
"random_keys_insertion_and_deletion_inserts",40000,"RBT",14,19,19,34,16,19,33,52
"random_keys_insertion_and_deletion_deletes",40000,"RBT",13,19,17,36,17,19,30,52
"ascending_keys_insertion_and_deletion_inserts",40000,"RBT",25,28,33,37,25,28,58,65
"ascending_keys_insertion_and_deletion_deletes",40000,"RBT",13,18,16,36,16,27,29,50
"random_keys_insertion_and_deletion_inserts",40000,"RBT",14,18,19,34,16,18,34,52
"random_keys_insertion_and_deletion_deletes",40000,"RBT",13,18,17,37,17,18,30,52
"ascending_keys_insertion_and_deletion_inserts",40000,"RBT",25,28,33,37,25,28,58,65
"ascending_keys_insertion_and_deletion_deletes",40000,"RBT",13,17,16,36,16,27,29,50
"random_keys_insertion_and_deletion_inserts",40000,"RBT",14,19,19,35,17,19,34,54
"random_keys_insertion_and_deletion_deletes",40000,"RBT",13,19,17,37,17,19,30,54
"ascending_keys_insertion_and_deletion_inserts",40000,"RBT",25,28,33,37,25,28,58,65
"ascending_keys_insertion_and_deletion_deletes",40000,"RBT",13,19,16,35,16,28,29,48
"random_keys_insertion_and_deletion_inserts",40000,"RBT",14,18,19,34,16,18,33,52
"random_keys_insertion_and_deletion_deletes",40000,"RBT",13,18,17,37,17,18,30,52
"ascending_keys_insertion_and_deletion_inserts",40000,"RBT",25,28,33,37,25,28,58,65
"ascending_keys_insertion_and_deletion_deletes",40000,"RBT",13,19,16,36,16,28,29,50
"random_keys_insertion_and_deletion_inserts",40000,"RBT",14,19,19,34,17,19,34,52
"random_keys_insertion_and_deletion_deletes",40000,"RBT",13,19,17,37,17,19,30,52
"ascending_keys_insertion_and_deletion_inserts",40000,"RBT",25,28,33,37,25,28,58,65
"ascending_keys_insertion_and_deletion_deletes",40000,"RBT",13,18,16,35,16,27,29,48
"random_keys_insertion_and_deletion_inserts",40000,"RBT",14,18,19,34,16,19,34,52
"random_keys_insertion_and_deletion_deletes",40000,"RBT",13,18,17,37,17,19,30,52
"ascending_keys_insertion_and_deletion_inserts",40000,"RBT",25,28,33,37,25,28,58,65
"ascending_keys_insertion_and_deletion_deletes",40000,"RBT",13,19,16,36,16,28,29,50
"random_keys_insertion_and_deletion_inserts",40000,"RBT",14,19,19,35,17,19,34,54
"random_keys_insertion_and_deletion_deletes",40000,"RBT",13,19,17,37,17,19,30,52
"ascending_keys_insertion_and_deletion_inserts",40000,"RBT",25,28,33,37,25,28,58,65
"ascending_keys_insertion_and_deletion_deletes",40000,"RBT",13,18,16,36,16,27,29,50
"random_keys_insertion_and_deletion_inserts",40000,"RBT",14,19,19,35,17,19,34,54
"random_keys_insertion_and_deletion_deletes",40000,"RBT",13,19,17,38,17,19,30,54
"ascending_keys_insertion_and_deletion_inserts",40000,"RBT",25,28,33,37,25,28,58,65
"ascending_keys_insertion_and_deletion_deletes",40000,"RBT",13,19,16,35,16,28,29,48
"random_keys_insertion_and_deletion_inserts",40000,"RBT",14,18,19,34,16,19,33,52
"random_keys_insertion_and_deletion_deletes",40000,"RBT",13,18,17,37,17,19,30,52
"ascending_keys_insertion_and_deletion_inserts",40000,"RBT",25,28,33,37,25,28,58,65
"ascending_keys_insertion_and_deletion_deletes",40000,"RBT",13,19,16,36,16,28,29,50
"random_keys_insertion_and_deletion_inserts",40000,"RBT",14,19,19,34,16,19,34,52
"random_keys_insertion_and_deletion_deletes",40000,"RBT",13,19,17,37,17,19,30,52
"ascending_keys_insertion_and_deletion_inserts",40000,"RBT",25,28,33,37,25,28,58,65
"ascending_keys_insertion_and_deletion_deletes",40000,"RBT",13,17,16,36,16,27,29,50
"random_keys_insertion_and_deletion_inserts",40000,"RBT",14,19,19,35,17,19,34,54
"random_keys_insertion_and_deletion_deletes",40000,"RBT",13,19,17,37,17,19,30,54
"ascending_keys_insertion_and_deletion_inserts",40000,"RBT",25,28,33,37,25,28,58,65
"ascending_keys_insertion_and_deletion_deletes",40000,"RBT",13,18,16,36,16,27,29,50
"random_keys_insertion_and_deletion_inserts",40000,"RBT",14,19,19,34,17,19,34,52
"random_keys_insertion_and_deletion_deletes",40000,"RBT",13,19,17,37,17,19,30,52
"ascending_keys_insertion_and_deletion_inserts",40000,"RBT",25,28,33,37,25,28,58,65
"ascending_keys_insertion_and_deletion_deletes",40000,"RBT",13,19,16,36,16,28,29,50
"random_keys_insertion_and_deletion_inserts",40000,"RBT",14,19,19,34,16,19,33,52
"random_keys_insertion_and_deletion_deletes",40000,"RBT",13,19,17,37,17,19,30,52
"ascending_keys_insertion_and_deletion_inserts",40000,"RBT",25,28,33,37,25,28,58,65
"ascending_keys_insertion_and_deletion_deletes",40000,"RBT",13,19,16,35,16,27,29,50
"random_keys_insertion_and_deletion_inserts",40000,"RBT",14,19,19,35,16,19,33,54
"random_keys_insertion_and_deletion_deletes",40000,"RBT",13,18,17,37,17,19,30,52
"ascending_keys_insertion_and_deletion_inserts",40000,"RBT",25,28,33,37,25,28,58,65
"ascending_keys_insertion_and_deletion_deletes",40000,"RBT",13,20,16,35,16,27,29,48
"random_keys_insertion_and_deletion_inserts",40000,"RBT",14,19,19,35,17,19,34,54
"random_keys_insertion_and_deletion_deletes",40000,"RBT",13,19,17,37,17,19,30,52
"ascending_keys_insertion_and_deletion_inserts",40000,"RBT",25,28,33,37,25,28,58,65
"ascending_keys_insertion_and_deletion_deletes",40000,"RBT",13,20,16,35,16,28,29,48
"random_keys_insertion_and_deletion_inserts",40000,"RBT",14,19,19,34,16,19,33,52
"random_keys_insertion_and_deletion_deletes",40000,"RBT",13,19,17,37,17,19,30,52
"ascending_keys_insertion_and_deletion_inserts",40000,"RBT",25,28,33,37,25,28,58,65
"ascending_keys_insertion_and_deletion_deletes",40000,"RBT",13,19,16,36,16,27,29,50
"random_keys_insertion_and_deletion_inserts",40000,"RBT",14,19,19,35,17,19,34,54
"random_keys_insertion_and_deletion_deletes",40000,"RBT",13,19,17,38,17,19,30,54
"ascending_keys_insertion_and_deletion_inserts",40000,"RBT",25,28,33,37,25,28,58,65
"ascending_keys_insertion_and_deletion_deletes",40000,"RBT",13,17,16,36,16,27,29,50
