testname,N,ds,average_comparisons,max_comparisons,average_pointer_operations,max_pointer_operations,average_tree_height,max_tree_height,average_cost,max_cost
"random_keys_insertion_and_deletion_deletes",10000,"BST",26,53,35,69,29,35,62,118
"ascending_keys_insertion_and_deletion_inserts",10000,"BST",5000,9999,10001,19999,5001,10000,15001,29998
"ascending_keys_insertion_and_deletion_deletes",10000,"BST",5013,19932,5014,19933,4999,9999,10028,39865
"random_keys_insertion_and_deletion_inserts",10000,"BST",14,29,30,59,24,30,45,88
"random_keys_insertion_and_deletion_deletes",10000,"BST",21,47,30,68,26,30,52,115
"ascending_keys_insertion_and_deletion_inserts",10000,"BST",5000,9999,10001,19999,5001,10000,15001,29998
"ascending_keys_insertion_and_deletion_deletes",10000,"BST",4977,19748,4978,19749,4999,9999,9956,39497
"random_keys_insertion_and_deletion_inserts",10000,"BST",15,31,32,63,27,32,48,94
"random_keys_insertion_and_deletion_deletes",10000,"BST",24,51,32,66,27,32,56,116
"ascending_keys_insertion_and_deletion_inserts",10000,"BST",5000,9999,10001,19999,5001,10000,15001,29998
"ascending_keys_insertion_and_deletion_deletes",10000,"BST",5009,19808,5010,19809,4999,9999,10019,39617
"random_keys_insertion_and_deletion_inserts",10000,"BST",15,28,32,57,25,29,48,85
"random_keys_insertion_and_deletion_deletes",10000,"BST",24,46,32,63,25,29,57,109
"ascending_keys_insertion_and_deletion_inserts",10000,"BST",5000,9999,10001,19999,5001,10000,15001,29998
"ascending_keys_insertion_and_deletion_deletes",10000,"BST",4995,19754,4996,19755,4999,9999,9991,39509
"random_keys_insertion_and_deletion_inserts",10000,"BST",15,30,31,61,26,31,46,91
"random_keys_insertion_and_deletion_deletes",10000,"BST",23,46,31,63,25,31,55,106
"ascending_keys_insertion_and_deletion_inserts",10000,"BST",5000,9999,10001,19999,5001,10000,15001,29998
"ascending_keys_insertion_and_deletion_deletes",10000,"BST",4926,19378,4927,19379,4999,9999,9854,38757
"random_keys_insertion_and_deletion_inserts",10000,"BST",15,29,31,59,26,30,47,88
"random_keys_insertion_and_deletion_deletes",10000,"BST",22,49,32,59,26,30,54,108
"ascending_keys_insertion_and_deletion_inserts",10000,"BST",5000,9999,10001,19999,5001,10000,15001,29998
"ascending_keys_insertion_and_deletion_deletes",10000,"BST",4995,19614,4996,19615,4999,9999,9991,39229
"random_keys_insertion_and_deletion_inserts",10000,"BST",15,30,31,61,27,31,46,91
"random_keys_insertion_and_deletion_deletes",10000,"BST",22,48,31,61,27,31,54,107
"ascending_keys_insertion_and_deletion_inserts",10000,"BST",5000,9999,10001,19999,5001,10000,15001,29998
"ascending_keys_insertion_and_deletion_deletes",10000,"BST",5032,19714,5033,19715,4999,9999,10065,39429
"random_keys_insertion_and_deletion_inserts",10000,"BST",15,29,31,59,26,30,46,88
"random_keys_insertion_and_deletion_deletes",10000,"BST",22,42,31,60,26,30,54,101
"ascending_keys_insertion_and_deletion_inserts",10000,"BST",5000,9999,10001,19999,5001,10000,15001,29998
"ascending_keys_insertion_and_deletion_deletes",10000,"BST",4993,19718,4994,19719,4999,9999,9987,39437
"random_keys_insertion_and_deletion_inserts",10000,"BST",15,30,31,61,27,31,46,91
"random_keys_insertion_and_deletion_deletes",10000,"BST",22,47,31,67,27,31,54,107
"ascending_keys_insertion_and_deletion_inserts",10000,"BST",5000,9999,10001,19999,5001,10000,15001,29998
"ascending_keys_insertion_and_deletion_deletes",10000,"BST",5032,19752,5033,19753,4999,9999,10065,39505
"random_keys_insertion_and_deletion_inserts",10000,"BST",16,33,34,67,29,34,50,100
"random_keys_insertion_and_deletion_deletes",10000,"BST",24,50,34,68,30,34,59,118
"ascending_keys_insertion_and_deletion_inserts",10000,"BST",5000,9999,10001,19999,5001,10000,15001,29998
"ascending_keys_insertion_and_deletion_deletes",10000,"BST",5012,19694,5013,19695,4999,9999,10026,39389
"random_keys_insertion_and_deletion_inserts",10000,"BST",15,28,31,57,25,29,46,85
"random_keys_insertion_and_deletion_deletes",10000,"BST",22,44,31,63,25,29,54,101
"ascending_keys_insertion_and_deletion_inserts",10000,"BST",5000,9999,10001,19999,5001,10000,15001,29998
"ascending_keys_insertion_and_deletion_deletes",10000,"BST",5018,19828,5019,19829,4999,9999,10038,39657
"random_keys_insertion_and_deletion_inserts",10000,"BST",14,29,30,59,26,30,45,88
"random_keys_insertion_and_deletion_deletes",10000,"BST",22,47,30,60,25,30,53,106
"ascending_keys_insertion_and_deletion_inserts",10000,"BST",5000,9999,10001,19999,5001,10000,15001,29998
"ascending_keys_insertion_and_deletion_deletes",10000,"BST",4938,19688,4939,19689,4999,9999,9877,39377
"random_keys_insertion_and_deletion_inserts",10000,"BST",15,31,32,63,28,32,47,94
"random_keys_insertion_and_deletion_deletes",10000,"BST",23,51,32,68,27,32,56,116
"ascending_keys_insertion_and_deletion_inserts",10000,"BST",5000,9999,10001,19999,5001,10000,15001,29998
"ascending_keys_insertion_and_deletion_deletes",10000,"BST",5041,19722,5042,19723,4999,9999,10084,39445
"random_keys_insertion_and_deletion_inserts",10000,"BST",15,28,31,57,25,29,46,85
"random_keys_insertion_and_deletion_deletes",10000,"BST",22,44,31,65,26,29,54,101
"ascending_keys_insertion_and_deletion_inserts",10000,"BST",5000,9999,10001,19999,5001,10000,15001,29998
"ascending_keys_insertion_and_deletion_deletes",10000,"BST",4981,19710,4982,19711,4999,9999,9963,39421
"random_keys_insertion_and_deletion_inserts",20000,"BST",17,33,35,67,30,34,53,100
"random_keys_insertion_and_deletion_deletes",20000,"BST",24,51,35,68,30,34,60,118
"ascending_keys_insertion_and_deletion_inserts",20000,"BST",10000,19999,20001,39999,10001,20000,30001,59998
"ascending_keys_insertion_and_deletion_deletes",20000,"BST",9973,39516,9974,39517,9999,19999,19947,79033
"random_keys_insertion_and_deletion_inserts",20000,"BST",16,30,33,61,27,31,49,91
"random_keys_insertion_and_deletion_deletes",20000,"BST",23,50,33,64,27,31,57,113
"ascending_keys_insertion_and_deletion_inserts",20000,"BST",10000,19999,20001,39999,10001,20000,30001,59998
"ascending_keys_insertion_and_deletion_deletes",20000,"BST",10123,39360,10124,39361,9999,19999,20247,78721
"random_keys_insertion_and_deletion_inserts",20000,"BST",16,29,33,59,27,30,49,88
"random_keys_insertion_and_deletion_deletes",20000,"BST",23,48,33,64,26,30,57,109
"ascending_keys_insertion_and_deletion_inserts",20000,"BST",10000,19999,20001,39999,10001,20000,30001,59998
"ascending_keys_insertion_and_deletion_deletes",20000,"BST",9996,39618,9997,39619,9999,19999,19994,79237
"random_keys_insertion_and_deletion_inserts",20000,"BST",17,35,36,71,32,36,54,106
"random_keys_insertion_and_deletion_deletes",20000,"BST",26,52,36,76,31,36,63,126
"ascending_keys_insertion_and_deletion_inserts",20000,"BST",10000,19999,20001,39999,10001,20000,30001,59998
"ascending_keys_insertion_and_deletion_deletes",20000,"BST",10050,39690,10051,39691,9999,19999,20101,79381
"random_keys_insertion_and_deletion_inserts",20000,"BST",16,31,34,63,28,32,50,94
"random_keys_insertion_and_deletion_deletes",20000,"BST",24,52,34,69,29,32,58,117
"ascending_keys_insertion_and_deletion_inserts",20000,"BST",10000,19999,20001,39999,10001,20000,30001,59998
"ascending_keys_insertion_and_deletion_deletes",20000,"BST",10016,39550,10017,39551,9999,19999,20033,79101
"random_keys_insertion_and_deletion_inserts",20000,"BST",16,32,34,65,28,33,51,97
"random_keys_insertion_and_deletion_deletes",20000,"BST",24,48,34,64,28,33,58,109
"ascending_keys_insertion_and_deletion_inserts",20000,"BST",10000,19999,20001,39999,10001,20000,30001,59998
"ascending_keys_insertion_and_deletion_deletes",20000,"BST",10112,39546,10113,39547,9999,19999,20226,79093
"random_keys_insertion_and_deletion_inserts",20000,"BST",16,33,33,67,28,34,50,100
"random_keys_insertion_and_deletion_deletes",20000,"BST",25,51,34,69,28,34,59,120
"ascending_keys_insertion_and_deletion_inserts",20000,"BST",10000,19999,20001,39999,10001,20000,30001,59998
"ascending_keys_insertion_and_deletion_deletes",20000,"BST",10039,39650,10040,39651,9999,19999,20080,79301
"random_keys_insertion_and_deletion_inserts",20000,"BST",17,40,35,81,35,41,52,121
"random_keys_insertion_and_deletion_deletes",20000,"BST",26,63,35,84,37,41,62,144
"ascending_keys_insertion_and_deletion_inserts",20000,"BST",10000,19999,20001,39999,10001,20000,30001,59998
"ascending_keys_insertion_and_deletion_deletes",20000,"BST",10004,39692,10005,39693,9999,19999,20009,79385
"random_keys_insertion_and_deletion_inserts",20000,"BST",17,32,35,65,29,33,52,97
"random_keys_insertion_and_deletion_deletes",20000,"BST",25,51,35,67,30,33,61,115
"ascending_keys_insertion_and_deletion_inserts",20000,"BST",10000,19999,20001,39999,10001,20000,30001,59998
"ascending_keys_insertion_and_deletion_deletes",20000,"BST",9915,39638,9916,39639,9999,19999,19831,79277
"random_keys_insertion_and_deletion_inserts",20000,"BST",16,33,33,67,30,34,49,100
"random_keys_insertion_and_deletion_deletes",20000,"BST",24,50,33,68,29,34,58,118
"ascending_keys_insertion_and_deletion_inserts",20000,"BST",10000,19999,20001,39999,10001,20000,30001,59998
"ascending_keys_insertion_and_deletion_deletes",20000,"BST",9877,39410,9878,39411,9999,19999,19756,78821
"random_keys_insertion_and_deletion_inserts",20000,"BST",17,34,36,69,30,35,53,103
"random_keys_insertion_and_deletion_deletes",20000,"BST",26,56,36,69,31,35,62,125
"ascending_keys_insertion_and_deletion_inserts",20000,"BST",10000,19999,20001,39999,10001,20000,30001,59998
"ascending_keys_insertion_and_deletion_deletes",20000,"BST",9939,39672,9940,39673,9999,19999,19880,79345
"random_keys_insertion_and_deletion_inserts",20000,"BST",17,33,36,67,30,34,53,100
"random_keys_insertion_and_deletion_deletes",20000,"BST",26,51,36,70,30,34,62,119
"ascending_keys_insertion_and_deletion_inserts",20000,"BST",10000,19999,20001,39999,10001,20000,30001,59998
"ascending_keys_insertion_and_deletion_deletes",20000,"BST",9979,39714,9980,39715,9999,19999,19959,79429
"random_keys_insertion_and_deletion_inserts",20000,"BST",16,32,34,65,29,33,51,97
"random_keys_insertion_and_deletion_deletes",20000,"BST",24,50,34,66,29,33,59,113
"ascending_keys_insertion_and_deletion_inserts",20000,"BST",10000,19999,20001,39999,10001,20000,30001,59998
"ascending_keys_insertion_and_deletion_deletes",20000,"BST",10060,39832,10061,39833,9999,19999,20121,79665
"random_keys_insertion_and_deletion_inserts",20000,"BST",17,33,36,67,30,34,54,100
"random_keys_insertion_and_deletion_deletes",20000,"BST",26,51,37,72,30,34,63,117
"ascending_keys_insertion_and_deletion_inserts",20000,"BST",10000,19999,20001,39999,10001,20000,30001,59998
"ascending_keys_insertion_and_deletion_deletes",20000,"BST",9931,39338,9932,39339,9999,19999,19863,78677
"random_keys_insertion_and_deletion_inserts",20000,"BST",17,32,35,65,29,33,52,97
"random_keys_insertion_and_deletion_deletes",20000,"BST",25,52,35,65,28,33,61,117
"ascending_keys_insertion_and_deletion_inserts",20000,"BST",10000,19999,20001,39999,10001,20000,30001,59998
"ascending_keys_insertion_and_deletion_deletes",20000,"BST",10016,39486,10017,39487,9999,19999,20033,78973
"random_keys_insertion_and_deletion_inserts",20000,"BST",18,35,37,71,33,36,55,106
"random_keys_insertion_and_deletion_deletes",20000,"BST",27,56,37,73,32,36,64,128
"ascending_keys_insertion_and_deletion_inserts",20000,"BST",10000,19999,20001,39999,10001,20000,30001,59998
"ascending_keys_insertion_and_deletion_deletes",20000,"BST",9948,39916,9949,39917,9999,19999,19898,79833
"random_keys_insertion_and_deletion_inserts",20000,"BST",16,33,33,67,29,34,49,100
"random_keys_insertion_and_deletion_deletes",20000,"BST",24,55,33,65,29,34,58,120
"ascending_keys_insertion_and_deletion_inserts",20000,"BST",10000,19999,20001,39999,10001,20000,30001,59998
"ascending_keys_insertion_and_deletion_deletes",20000,"BST",9991,39622,9992,39623,9999,19999,19983,79245
"random_keys_insertion_and_deletion_inserts",20000,"BST",16,29,33,59,26,30,50,88
"random_keys_insertion_and_deletion_deletes",20000,"BST",24,47,33,62,26,30,58,106
"ascending_keys_insertion_and_deletion_inserts",20000,"BST",10000,19999,20001,39999,10001,20000,30001,59998
"ascending_keys_insertion_and_deletion_deletes",20000,"BST",10013,39750,10014,39751,9999,19999,20027,79501
"random_keys_insertion_and_deletion_inserts",20000,"BST",16,36,34,73,32,37,51,109
"random_keys_insertion_and_deletion_deletes",20000,"BST",25,57,34,70,30,37,59,126
"ascending_keys_insertion_and_deletion_inserts",20000,"BST",10000,19999,20001,39999,10001,20000,30001,59998
"ascending_keys_insertion_and_deletion_deletes",20000,"BST",9946,39768,9947,39769,9999,19999,19894,79537
"random_keys_insertion_and_deletion_inserts",20000,"BST",17,36,36,73,31,37,53,109
"random_keys_insertion_and_deletion_deletes",20000,"BST",26,53,36,74,32,37,63,123
"ascending_keys_insertion_and_deletion_inserts",20000,"BST",10000,19999,20001,39999,10001,20000,30001,59998
"ascending_keys_insertion_and_deletion_deletes",20000,"BST",10037,39142,10038,39143,9999,19999,20076,78285
"random_keys_insertion_and_deletion_inserts",30000,"BST",17,32,35,65,29,33,52,97
"random_keys_insertion_and_deletion_deletes",30000,"BST",25,51,35,68,29,33,60,114
"ascending_keys_insertion_and_deletion_inserts",30000,"BST",15000,29999,30001,59999,15001,30000,45001,89998
"ascending_keys_insertion_and_deletion_deletes",30000,"BST",14941,59734,14942,59735,14999,29999,29883,119469
"random_keys_insertion_and_deletion_inserts",30000,"BST",17,34,36,69,30,35,53,103
"random_keys_insertion_and_deletion_deletes",30000,"BST",26,52,36,68,30,35,62,119
"ascending_keys_insertion_and_deletion_inserts",30000,"BST",15000,29999,30001,59999,15001,30000,45001,89998
"ascending_keys_insertion_and_deletion_deletes",30000,"BST",15031,59586,15032,59587,14999,29999,30063,119173
"random_keys_insertion_and_deletion_inserts",30000,"BST",17,34,36,69,31,35,54,103
"random_keys_insertion_and_deletion_deletes",30000,"BST",26,54,36,72,30,35,63,121
"ascending_keys_insertion_and_deletion_inserts",30000,"BST",15000,29999,30001,59999,15001,30000,45001,89998
"ascending_keys_insertion_and_deletion_deletes",30000,"BST",15026,59884,15027,59885,14999,29999,30054,119769
"random_keys_insertion_and_deletion_inserts",30000,"BST",17,35,35,71,31,36,52,106
"random_keys_insertion_and_deletion_deletes",30000,"BST",25,53,35,70,30,36,61,120
"ascending_keys_insertion_and_deletion_inserts",30000,"BST",15000,29999,30001,59999,15001,30000,45001,89998
"ascending_keys_insertion_and_deletion_deletes",30000,"BST",15020,59822,15021,59823,14999,29999,30042,119645
"random_keys_insertion_and_deletion_inserts",30000,"BST",18,34,37,69,32,35,55,103
"random_keys_insertion_and_deletion_deletes",30000,"BST",27,56,37,71,31,35,64,127
"ascending_keys_insertion_and_deletion_inserts",30000,"BST",15000,29999,30001,59999,15001,30000,45001,89998
"ascending_keys_insertion_and_deletion_deletes",30000,"BST",15002,59878,15003,59879,14999,29999,30005,119757
"random_keys_insertion_and_deletion_inserts",30000,"BST",17,38,36,77,36,39,53,115
"random_keys_insertion_and_deletion_deletes",30000,"BST",26,58,36,79,34,39,63,135
"ascending_keys_insertion_and_deletion_inserts",30000,"BST",15000,29999,30001,59999,15001,30000,45001,89998
"ascending_keys_insertion_and_deletion_deletes",30000,"BST",14938,59428,14939,59429,14999,29999,29877,118857
"random_keys_insertion_and_deletion_inserts",30000,"BST",18,37,38,75,34,38,57,112
"random_keys_insertion_and_deletion_deletes",30000,"BST",28,61,38,77,34,38,66,137
"ascending_keys_insertion_and_deletion_inserts",30000,"BST",15000,29999,30001,59999,15001,30000,45001,89998
"ascending_keys_insertion_and_deletion_deletes",30000,"BST",14970,59674,14971,59675,14999,29999,29942,119349
"random_keys_insertion_and_deletion_inserts",30000,"BST",17,33,35,67,29,34,52,100
"random_keys_insertion_and_deletion_deletes",30000,"BST",25,50,35,67,28,34,60,116
"ascending_keys_insertion_and_deletion_inserts",30000,"BST",15000,29999,30001,59999,15001,30000,45001,89998
"ascending_keys_insertion_and_deletion_deletes",30000,"BST",14945,59368,14946,59369,14999,29999,29892,118737
"random_keys_insertion_and_deletion_inserts",30000,"BST",18,40,37,81,36,41,55,121
"random_keys_insertion_and_deletion_deletes",30000,"BST",26,60,37,81,34,41,64,140
"ascending_keys_insertion_and_deletion_inserts",30000,"BST",15000,29999,30001,59999,15001,30000,45001,89998
"ascending_keys_insertion_and_deletion_deletes",30000,"BST",14955,59434,14956,59435,14999,29999,29911,118869
"random_keys_insertion_and_deletion_inserts",30000,"BST",18,36,38,73,32,37,57,109
"random_keys_insertion_and_deletion_deletes",30000,"BST",28,55,38,74,31,37,66,124
"ascending_keys_insertion_and_deletion_inserts",30000,"BST",15000,29999,30001,59999,15001,30000,45001,89998
"ascending_keys_insertion_and_deletion_deletes",30000,"BST",14981,59416,14982,59417,14999,29999,29963,118833
"random_keys_insertion_and_deletion_inserts",30000,"BST",18,35,37,71,31,36,55,106
"random_keys_insertion_and_deletion_deletes",30000,"BST",26,52,37,73,31,36,63,125
"ascending_keys_insertion_and_deletion_inserts",30000,"BST",15000,29999,30001,59999,15001,30000,45001,89998
"ascending_keys_insertion_and_deletion_deletes",30000,"BST",15123,59948,15124,59949,14999,29999,30248,119897
"random_keys_insertion_and_deletion_inserts",30000,"BST",18,35,37,71,30,36,55,106
"random_keys_insertion_and_deletion_deletes",30000,"BST",27,50,37,67,31,36,64,114
"ascending_keys_insertion_and_deletion_inserts",30000,"BST",15000,29999,30001,59999,15001,30000,45001,89998
"ascending_keys_insertion_and_deletion_deletes",30000,"BST",14987,59576,14988,59577,14999,29999,29975,119153
"random_keys_insertion_and_deletion_inserts",30000,"BST",18,35,37,71,31,36,55,106
"random_keys_insertion_and_deletion_deletes",30000,"BST",26,53,37,75,31,36,64,122
"ascending_keys_insertion_and_deletion_inserts",30000,"BST",15000,29999,30001,59999,15001,30000,45001,89998
"ascending_keys_insertion_and_deletion_deletes",30000,"BST",14920,59710,14921,59711,14999,29999,29842,119421
"random_keys_insertion_and_deletion_inserts",30000,"BST",17,33,35,67,29,34,53,100
"random_keys_insertion_and_deletion_deletes",30000,"BST",26,52,36,72,29,34,62,118
"ascending_keys_insertion_and_deletion_inserts",30000,"BST",15000,29999,30001,59999,15001,30000,45001,89998
"ascending_keys_insertion_and_deletion_deletes",30000,"BST",15005,59652,15006,59653,14999,29999,30012,119305
"random_keys_insertion_and_deletion_inserts",30000,"BST",18,34,37,69,31,35,55,103
"random_keys_insertion_and_deletion_deletes",30000,"BST",26,57,37,77,31,35,64,132
"ascending_keys_insertion_and_deletion_inserts",30000,"BST",15000,29999,30001,59999,15001,30000,45001,89998
"ascending_keys_insertion_and_deletion_deletes",30000,"BST",15011,59874,15012,59875,14999,29999,30024,119749
"random_keys_insertion_and_deletion_inserts",30000,"BST",17,33,36,67,31,34,54,100
"random_keys_insertion_and_deletion_deletes",30000,"BST",26,51,36,71,31,34,62,120
"ascending_keys_insertion_and_deletion_inserts",30000,"BST",15000,29999,30001,59999,15001,30000,45001,89998
"ascending_keys_insertion_and_deletion_deletes",30000,"BST",14976,59526,14977,59527,14999,29999,29953,119053
"random_keys_insertion_and_deletion_inserts",30000,"BST",17,37,36,75,34,38,54,112
"random_keys_insertion_and_deletion_deletes",30000,"BST",26,56,36,78,33,38,62,134
"ascending_keys_insertion_and_deletion_inserts",30000,"BST",15000,29999,30001,59999,15001,30000,45001,89998
"ascending_keys_insertion_and_deletion_deletes",30000,"BST",15003,59440,15004,59441,14999,29999,30008,118881
"random_keys_insertion_and_deletion_inserts",30000,"BST",18,39,38,79,37,40,57,118
"random_keys_insertion_and_deletion_deletes",30000,"BST",27,56,38,81,36,40,65,137
"ascending_keys_insertion_and_deletion_inserts",30000,"BST",15000,29999,30001,59999,15001,30000,45001,89998
"ascending_keys_insertion_and_deletion_deletes",30000,"BST",14982,59368,14983,59369,14999,29999,29966,118737
"random_keys_insertion_and_deletion_inserts",30000,"BST",18,33,38,67,31,34,57,100
"random_keys_insertion_and_deletion_deletes",30000,"BST",28,52,39,73,31,34,67,125
"ascending_keys_insertion_and_deletion_inserts",30000,"BST",15000,29999,30001,59999,15001,30000,45001,89998
"ascending_keys_insertion_and_deletion_deletes",30000,"BST",15071,59552,15072,59553,14999,29999,30143,119105
"random_keys_insertion_and_deletion_inserts",30000,"BST",17,35,35,71,30,36,53,106
"random_keys_insertion_and_deletion_deletes",30000,"BST",25,50,36,74,31,36,62,124
"ascending_keys_insertion_and_deletion_inserts",30000,"BST",15000,29999,30001,59999,15001,30000,45001,89998
"ascending_keys_insertion_and_deletion_deletes",30000,"BST",15032,59228,15033,59229,14999,29999,30065,118457
"random_keys_insertion_and_deletion_inserts",40000,"BST",17,35,35,71,31,36,52,106
"random_keys_insertion_and_deletion_deletes",40000,"BST",25,54,35,71,30,36,61,125
"ascending_keys_insertion_and_deletion_inserts",40000,"BST",20000,39999,40001,79999,20001,40000,60001,119998
"ascending_keys_insertion_and_deletion_deletes",40000,"BST",19931,79416,19932,79417,19999,39999,39864,158833
"random_keys_insertion_and_deletion_inserts",40000,"BST",18,36,37,73,33,37,55,109
"random_keys_insertion_and_deletion_deletes",40000,"BST",27,54,37,76,32,37,65,128
"ascending_keys_insertion_and_deletion_inserts",40000,"BST",20000,39999,40001,79999,20001,40000,60001,119998
"ascending_keys_insertion_and_deletion_deletes",40000,"BST",20056,79692,20057,79693,19999,39999,40113,159385
"random_keys_insertion_and_deletion_inserts",40000,"BST",18,33,37,67,30,34,55,100
"random_keys_insertion_and_deletion_deletes",40000,"BST",27,52,37,72,30,34,64,121
"ascending_keys_insertion_and_deletion_inserts",40000,"BST",20000,39999,40001,79999,20001,40000,60001,119998
"ascending_keys_insertion_and_deletion_deletes",40000,"BST",20044,79718,20045,79719,19999,39999,40090,159437
"random_keys_insertion_and_deletion_inserts",40000,"BST",19,37,40,75,33,38,59,112
"random_keys_insertion_and_deletion_deletes",40000,"BST",27,54,40,79,34,38,67,125
"ascending_keys_insertion_and_deletion_inserts",40000,"BST",20000,39999,40001,79999,20001,40000,60001,119998
"ascending_keys_insertion_and_deletion_deletes",40000,"BST",19963,79800,19964,79801,19999,39999,39927,159601
"random_keys_insertion_and_deletion_inserts",40000,"BST",18,34,38,69,30,35,56,103
"random_keys_insertion_and_deletion_deletes",40000,"BST",28,55,38,72,30,35,66,127
"ascending_keys_insertion_and_deletion_inserts",40000,"BST",20000,39999,40001,79999,20001,40000,60001,119998
"ascending_keys_insertion_and_deletion_deletes",40000,"BST",20090,79674,20091,79675,19999,39999,40181,159349
"random_keys_insertion_and_deletion_inserts",40000,"BST",17,35,36,71,32,36,54,106
"random_keys_insertion_and_deletion_deletes",40000,"BST",26,57,36,77,32,36,63,129
"ascending_keys_insertion_and_deletion_inserts",40000,"BST",20000,39999,40001,79999,20001,40000,60001,119998
"ascending_keys_insertion_and_deletion_deletes",40000,"BST",19982,79866,19983,79867,19999,39999,39965,159733
"random_keys_insertion_and_deletion_inserts",40000,"BST",18,36,38,73,33,37,56,109
"random_keys_insertion_and_deletion_deletes",40000,"BST",27,60,38,76,33,37,65,131
"ascending_keys_insertion_and_deletion_inserts",40000,"BST",20000,39999,40001,79999,20001,40000,60001,119998
"ascending_keys_insertion_and_deletion_deletes",40000,"BST",19912,79424,19913,79425,19999,39999,39825,158849
"random_keys_insertion_and_deletion_inserts",40000,"BST",18,35,38,71,33,36,56,106
"random_keys_insertion_and_deletion_deletes",40000,"BST",28,56,38,77,32,36,66,127
"ascending_keys_insertion_and_deletion_inserts",40000,"BST",20000,39999,40001,79999,20001,40000,60001,119998
"ascending_keys_insertion_and_deletion_deletes",40000,"BST",20076,79736,20077,79737,19999,39999,40153,159473
"random_keys_insertion_and_deletion_inserts",40000,"BST",17,33,36,67,31,34,53,100
"random_keys_insertion_and_deletion_deletes",40000,"BST",25,53,36,72,31,34,62,121
"ascending_keys_insertion_and_deletion_inserts",40000,"BST",20000,39999,40001,79999,20001,40000,60001,119998
"ascending_keys_insertion_and_deletion_deletes",40000,"BST",20018,79114,20019,79115,19999,39999,40037,158229
"random_keys_insertion_and_deletion_inserts",40000,"BST",18,36,38,73,31,37,56,109
"random_keys_insertion_and_deletion_deletes",40000,"BST",28,58,38,73,32,37,66,129
"ascending_keys_insertion_and_deletion_inserts",40000,"BST",20000,39999,40001,79999,20001,40000,60001,119998
"ascending_keys_insertion_and_deletion_deletes",40000,"BST",19956,79584,19957,79585,19999,39999,39913,159169
"random_keys_insertion_and_deletion_inserts",40000,"BST",19,35,39,71,32,36,58,106
"random_keys_insertion_and_deletion_deletes",40000,"BST",29,61,39,73,32,36,68,132
"ascending_keys_insertion_and_deletion_inserts",40000,"BST",20000,39999,40001,79999,20001,40000,60001,119998
"ascending_keys_insertion_and_deletion_deletes",40000,"BST",19877,79660,19878,79661,19999,39999,39755,159321
"random_keys_insertion_and_deletion_inserts",40000,"BST",18,37,37,75,35,38,55,112
"random_keys_insertion_and_deletion_deletes",40000,"BST",27,62,37,77,34,38,65,139
"ascending_keys_insertion_and_deletion_inserts",40000,"BST",20000,39999,40001,79999,20001,40000,60001,119998
"ascending_keys_insertion_and_deletion_deletes",40000,"BST",19886,79674,19887,79675,19999,39999,39773,159349
"random_keys_insertion_and_deletion_inserts",40000,"BST",17,34,36,69,31,35,54,103
